Configuration,Total records,ok,malformed,none,not_in_ontology,error,Contributing to matrix,Unique edges in matrix
LLaMA 3.1 8B,39,38,0,0,1,0,38,20
Gemma 4 E4B,39,38,0,1,0,0,38,16
Qwen 3.5 9B (instruct),39,34,0,5,0,0,34,15
DeepSeek-R1 8B,39,37,0,2,0,0,37,18
Qwen 3.5 9B (thinking),39,20,16,0,2,1,20,11

Ground truth,39,—,—,—,—,—,39,10
