Configuration,Total records,ok,malformed,none,not_in_ontology,error,Contributing to matrix,Unique edges in matrix
LLaMA 3.1 8B,5,5,0,0,0,0,5,18
Qwen 3.5 9B (thinking),5,2,3,0,0,0,2,6
Qwen 3.5 9B (instruct),5,3,0,2,0,0,3,3
Gemma 4 E4B,5,4,0,1,0,0,4,7
DeepSeek-R1 8B,5,4,1,0,0,0,4,9

Ground truth,5,—,—,—,—,—,5,3
