Model,Total,Correct,Accuracy,ok,malformed,none,not_in_ontology,error
LLaMA 3.1 8B,39,8,0.2051,38,0,0,1,0
Gemma 4 E4B,39,10,0.2564,38,0,1,0,0
Qwen 3.5 9B (instruct),39,10,0.2564,34,0,5,0,0
DeepSeek-R1 8B,39,16,0.4103,37,0,2,0,0
Qwen 3.5 9B (thinking),39,11,0.2821,20,16,0,2,1
