model,n_excerpts,is_dag_mean,gt_edge_count_mean,pred_edge_count_mean,adj_precision_mean,adj_recall_mean,adj_f1_mean,ori_precision_mean,ori_recall_mean,ori_f1_mean,ori_precision_full_mean,ori_recall_full_mean,ori_f1_full_mean,ori_shared_skeleton_count_mean,ori_correct_on_shared_mean,shd_strict_mean,shd_reversal_mean,tp_mean,fp_mean,fn_mean,tn_mean,tp_skeleton_mean,fp_skeleton_mean,fn_skeleton_mean,tn_skeleton_mean,specificity_mean,fdr_mean,fpr_mean,fnr_mean,accuracy_mean,balanced_accuracy_mean,mcc_mean,shd_strict_norm_edges_mean,shd_strict_norm_possible_mean,shd_reversal_norm_edges_mean,shd_reversal_norm_possible_mean,exact_match_mean,skeleton_precision_mean,skeleton_recall_mean,skeleton_f1_mean,skeleton_shd_mean,sid_mean,sid_computable_fraction
LLaMA 3.1 8B,5,0.8000,3.0000,5.2000,0.0619,0.1333,0.0844,0.4000,0.4000,0.4000,0.0571,0.1333,0.0800,0.4000,0.4000,7.4000,7.2000,0.4000,4.8000,2.6000,124.2000,0.4000,4.6000,2.6000,58.4000,0.9628,0.9429,0.0372,0.8667,0.9439,0.5481,0.0605,2.4667,0.0561,2.4000,0.0545,0.0000,0.0619,0.1333,0.0844,7.2000,6.0000,0.8000
Qwen 3.5 9B (thinking),5,1.0000,3.0000,1.2000,0.1000,0.1333,0.1143,0.1000,0.1000,0.1000,0.0500,0.0667,0.0571,0.4000,0.2000,3.8000,3.6000,0.2000,1.0000,2.8000,128.0000,0.4000,0.8000,2.6000,62.2000,0.9922,0.3500,0.0078,0.9333,0.9712,0.5295,0.0501,1.2667,0.0288,1.2000,0.0273,0.0000,0.1000,0.1333,0.1143,3.4000,9.4000,1.0000
Qwen 3.5 9B (instruct),5,1.0000,3.0000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6000,3.6000,0.0000,0.6000,3.0000,128.4000,0.0000,0.6000,3.0000,62.4000,0.9953,0.6000,0.0047,1.0000,0.9727,0.4977,-0.0080,1.2000,0.0273,1.2000,0.0273,0.0000,0.0000,0.0000,0.0000,3.6000,6.0000,1.0000
Gemma 4 E4B,5,1.0000,3.0000,1.6000,0.3333,0.2667,0.2933,0.4000,0.4000,0.4000,0.3333,0.2667,0.2933,0.8000,0.8000,3.0000,3.0000,0.8000,0.8000,2.2000,128.2000,0.8000,0.8000,2.2000,62.2000,0.9938,0.4667,0.0062,0.7333,0.9773,0.6302,0.2880,1.0000,0.0227,1.0000,0.0227,0.0000,0.3333,0.2667,0.2933,3.0000,6.0000,1.0000
DeepSeek-R1 8B,5,1.0000,3.0000,2.2000,0.1667,0.1333,0.1467,0.2000,0.2000,0.2000,0.0667,0.0667,0.0667,0.4000,0.2000,4.8000,4.6000,0.2000,2.0000,2.8000,127.0000,0.4000,1.8000,2.6000,61.2000,0.9845,0.7333,0.0155,0.9333,0.9636,0.5256,0.0506,1.6000,0.0364,1.5333,0.0348,0.0000,0.1667,0.1333,0.1467,4.4000,7.8000,1.0000
