model,n_excerpts,is_dag_mean,gt_edge_count_mean,pred_edge_count_mean,adj_precision_mean,adj_recall_mean,adj_f1_mean,ori_precision_mean,ori_recall_mean,ori_f1_mean,ori_precision_full_mean,ori_recall_full_mean,ori_f1_full_mean,ori_shared_skeleton_count_mean,ori_correct_on_shared_mean,shd_strict_mean,shd_reversal_mean,tp_mean,fp_mean,fn_mean,tn_mean,tp_skeleton_mean,fp_skeleton_mean,fn_skeleton_mean,tn_skeleton_mean,specificity_mean,fdr_mean,fpr_mean,fnr_mean,accuracy_mean,balanced_accuracy_mean,mcc_mean,shd_strict_norm_edges_mean,shd_strict_norm_possible_mean,shd_reversal_norm_edges_mean,shd_reversal_norm_possible_mean,exact_match_mean,skeleton_precision_mean,skeleton_recall_mean,skeleton_f1_mean,skeleton_shd_mean,sid_mean,sid_computable_fraction
LLaMA 3.1 8B,5,0.8000,3.0000,5.8000,0.0536,0.1333,0.0764,0.4000,0.4000,0.4000,0.0472,0.1333,0.0697,0.4000,0.4000,8.0000,7.6000,0.4000,5.4000,2.6000,147.6000,0.4000,5.0000,2.6000,70.0000,0.9647,0.9528,0.0353,0.8667,0.9487,0.5490,0.0556,2.6667,0.0513,2.5333,0.0487,0.0000,0.0536,0.1333,0.0764,7.6000,6.0000,0.8000
Qwen 3.5 9B (thinking),5,1.0000,3.0000,1.2000,0.1000,0.1333,0.1143,0.1000,0.1000,0.1000,0.0500,0.0667,0.0571,0.4000,0.2000,3.8000,3.6000,0.2000,1.0000,2.8000,152.0000,0.4000,0.8000,2.6000,74.2000,0.9935,0.3500,0.0065,0.9333,0.9756,0.5301,0.0513,1.2667,0.0244,1.2000,0.0231,0.0000,0.1000,0.1333,0.1143,3.4000,9.8000,1.0000
Qwen 3.5 9B (instruct),5,1.0000,3.0000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6000,3.6000,0.0000,0.6000,3.0000,152.4000,0.0000,0.6000,3.0000,74.4000,0.9961,0.6000,0.0039,1.0000,0.9769,0.4980,-0.0067,1.2000,0.0231,1.2000,0.0231,0.0000,0.0000,0.0000,0.0000,3.6000,6.0000,1.0000
Gemma 4 E4B,5,1.0000,3.0000,1.6000,0.3333,0.2667,0.2933,0.4000,0.4000,0.4000,0.3333,0.2667,0.2933,0.8000,0.8000,3.0000,3.0000,0.8000,0.8000,2.2000,152.2000,0.8000,0.8000,2.2000,74.2000,0.9948,0.4667,0.0052,0.7333,0.9808,0.6307,0.2894,1.0000,0.0192,1.0000,0.0192,0.0000,0.3333,0.2667,0.2933,3.0000,6.0000,1.0000
DeepSeek-R1 8B,5,1.0000,3.0000,2.2000,0.1667,0.1333,0.1467,0.2000,0.2000,0.2000,0.0667,0.0667,0.0667,0.4000,0.2000,4.8000,4.6000,0.2000,2.0000,2.8000,151.0000,0.4000,1.8000,2.6000,73.2000,0.9869,0.7333,0.0131,0.9333,0.9692,0.5268,0.0531,1.6000,0.0308,1.5333,0.0295,0.0000,0.1667,0.1333,0.1467,4.4000,8.0000,1.0000
